scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-06,1476.TW,儒鴻,355.0,周1K,買,58,C觀察,1.84,>MA5,多頭,1462.0,tracking
2026-08-06,1590.TW,亞德客-KY,1510.0,周1K,買,61,C觀察,4.85,>MA5,多頭,1270.1,tracking
2026-08-06,1605.TW,華新,34.85,單跳空、周1K,買,72,B可追蹤,4.13,>MA5,糾結,38467.6,tracking
2026-08-06,1608.TW,華榮,33.4,三白兵、單跳空,買,68,B可追蹤,4.19,>MA5,糾結,22414.6,tracking
2026-08-06,1617.TW,榮星,18.55,單跳空、島狀反轉、周1K,買,56,C觀察,-2.09,>MA5,空頭,4157.0,tracking
2026-08-06,1717.TW,長興,66.5,單跳空、廣義上升三法,買,72,B可追蹤,2.11,>MA5,糾結,10614.9,tracking
2026-08-06,1809.TW,中釉,39.35,三白兵、單跳空、島狀反轉、周1K,買,83,A強勢追蹤,1.57,>MA5,空頭,5375.5,tracking
2026-08-06,1907.TW,永豐餘,29.75,廣義上升三法,買,58,C觀察,1.92,>MA5,多頭,1504.1,tracking
2026-08-06,2027.TW,大成鋼,44.35,廣義上升三法、KD高腳,買,87,A強勢追蹤,2.17,>MA5,多頭,14191.5,tracking
2026-08-06,2034.TW,允強,18.95,單跳空、廣義上升三法、島狀反轉,買,56,C觀察,-1.1,>MA5,空頭,1499.6,tracking
2026-08-06,2049.TW,上銀,365.0,3K反轉、三白兵、漲停、漲幅達標、周1K,買,100,A強勢追蹤,6.99,>MA5,糾結,7751.1,tracking
2026-08-06,2233.TW,宇隆,224.0,三白兵、單跳空、漲停、漲幅達標,買,64,C觀察,2.51,>MA5,空頭,1795.0,tracking
2026-08-06,2301.TW,光寶科,249.0,三白兵、雙跳空、單跳空、周1K,買,100,A強勢追蹤,11.28,>MA5,多頭,90355.7,tracking
2026-08-06,2313.TW,華通,218.0,三白兵、雙跳空、單跳空、漲停、漲幅達標,買,86,A強勢追蹤,6.96,>MA5,空頭,29232.4,tracking
2026-08-06,2317.TW,鴻海,258.5,單跳空、周1K,買,86,A強勢追蹤,3.69,>MA5,多頭,72633.8,tracking
2026-08-06,2330.TW,台積電,2405.0,3K反轉、單跳空,買,66,B可追蹤,1.73,>MA5,糾結,36782.3,tracking
2026-08-06,2340.TW,台亞,33.35,三白兵、單跳空、島狀反轉,買,70,B可追蹤,4.52,>MA5,空頭,6546.4,tracking
2026-08-06,2344.TW,華邦電,169.0,三白兵、雙跳空、單跳空、漲幅達標、周1K,買,86,A強勢追蹤,6.9,>MA5,空頭,232656.9,tracking
2026-08-06,2345.TW,智邦,2385.0,雙跳空、單跳空,買,71,B可追蹤,5.26,>MA5,糾結,2914.5,tracking
2026-08-06,2347.TW,聯強,97.1,周1K,買,70,B可追蹤,4.18,>MA5,多頭,7257.2,tracking
2026-08-06,2356.TW,英業達,65.7,周1K,買,65,B可追蹤,2.01,>MA5,多頭,45447.9,tracking
2026-08-06,2357.TW,華碩,838.0,周1K,買,82,A強勢追蹤,6.9,>MA5,多頭,5273.9,tracking
2026-08-06,2359.TW,所羅門,145.0,3K反轉、漲停、KD高腳、漲幅達標、周1K,買,89,A強勢追蹤,2.77,>MA5,空頭,8315.1,tracking
2026-08-06,2362.TW,藍天,47.15,單跳空、周1K,買,77,A強勢追蹤,4.17,>MA5,多頭,3032.9,tracking
2026-08-06,2377.TW,微星,151.0,周1K,買,60,C觀察,4.22,>MA5,糾結,19359.5,tracking
2026-08-06,2383.TW,台光電,5245.0,3K反轉、單跳空,買,73,B可追蹤,6.81,>MA5,糾結,2477.8,tracking
2026-08-06,2388.TW,威盛,83.0,三白兵、單跳空、島狀反轉、周1K,買,100,A強勢追蹤,8.83,>MA5,多頭,13127.7,tracking
2026-08-06,2395.TW,研華,633.0,單跳空、漲停、島狀反轉、KD高腳、漲幅達標、周1K,買,100,A強勢追蹤,8.33,>MA5,多頭,4139.2,tracking
2026-08-06,2397.TW,友通,62.1,單跳空、島狀反轉、漲幅達標、周1K,買,67,B可追蹤,3.95,>MA5,空頭,2190.5,tracking
2026-08-06,2408.TW,南亞科,445.0,三白兵、雙跳空、單跳空、周1K,買,85,A強勢追蹤,8.62,>MA5,空頭,144425.7,tracking
2026-08-06,2426.TW,鼎元,62.5,三白兵、單跳空、島狀反轉,買,67,B可追蹤,2.79,>MA5,空頭,18384.3,tracking
2026-08-06,2454.TW,聯發科,4000.0,單跳空,買,59,C觀察,6.31,>MA5,糾結,12935.1,tracking
2026-08-06,2455.TW,全新,388.0,三白兵、雙跳空、單跳空、雙漲停、漲停、漲幅達標、周1K,買,100,A強勢追蹤,14.13,>MA5,多頭,10922.7,tracking
2026-08-06,2464.TW,盟立,170.0,三白兵、單跳空、廣義上升三法、島狀反轉、周1K,買,100,A強勢追蹤,10.32,>MA5,糾結,16112.4,tracking
2026-08-06,2465.TW,麗臺,85.8,單跳空、漲停、島狀反轉、漲幅達標、周1K,買,94,A強勢追蹤,7.19,>MA5,空頭,3001.8,tracking
2026-08-06,2476.TW,鉅祥,124.5,單跳空、廣義上升三法、島狀反轉、周1K,買,100,A強勢追蹤,2.96,>MA5,糾結,2041.0,tracking
2026-08-06,2486.TW,一詮,218.5,三白兵、雙跳空、單跳空,買,57,C觀察,2.58,>MA5,空頭,8316.5,tracking
2026-08-06,2489.TW,瑞軒,33.1,三白兵、單跳空、漲停、島狀反轉、漲幅達標,買,83,A強勢追蹤,3.26,>MA5,空頭,23176.0,tracking
2026-08-06,2539.TW,櫻花建,43.35,3K反轉,買,62,C觀察,2.08,>MA5,多頭,1874.3,tracking
2026-08-06,2540.TW,愛山林,57.8,廣義上升三法,買,62,C觀察,1.68,MA5~10,多頭,5856.5,tracking
2026-08-06,2605.TW,新興,32.0,KD高腳,買,61,C觀察,2.01,>MA5,糾結,5060.9,tracking
2026-08-06,2606.TW,裕民,64.5,廣義上升三法,買,57,C觀察,1.83,>MA5,糾結,3456.3,tracking
2026-08-06,2855.TW,統一證,45.85,單跳空、周1K,買,65,B可追蹤,0.62,>MA5,糾結,4435.2,tracking
2026-08-06,2867.TW,三商壽,9.77,廣義上升三法,買,69,B可追蹤,3.15,>MA5,多頭,16412.6,tracking
2026-08-06,2880.TW,華南金,43.8,廣義上升三法,買,74,B可追蹤,3.36,>MA5,多頭,20929.9,tracking
2026-08-06,2883.TW,凱基金,31.6,3K反轉、單跳空、周1K,買,100,A強勢追蹤,2.74,>MA5,多頭,65464.9,tracking
2026-08-06,2886.TW,兆豐金,51.2,廣義上升三法,買,64,C觀察,2.36,MA5~10,多頭,30109.4,tracking
2026-08-06,2891.TW,中信金,66.0,3K反轉、廣義上升三法,買,75,A強勢追蹤,0.2,>MA5,糾結,33164.0,tracking
2026-08-06,2892.TW,第一金,35.9,廣義上升三法,買,74,B可追蹤,2.16,>MA5,多頭,50836.3,tracking
2026-08-06,3006.TW,晶豪科,239.0,三白兵、雙跳空、單跳空、雙漲停、漲停、漲幅達標、周1K,買,100,A強勢追蹤,11.42,>MA5,糾結,12064.0,tracking
2026-08-06,3008.TW,大立光,4575.0,三白兵、周1K,買,81,A強勢追蹤,7.36,>MA5,糾結,4740.4,tracking
2026-08-06,3016.TW,嘉晶,104.0,三白兵、單跳空、漲停、島狀反轉、漲幅達標,買,83,A強勢追蹤,6.46,>MA5,空頭,11106.4,tracking
2026-08-06,3017.TW,奇鋐,2730.0,雙跳空、單跳空、廣義上升三法、周1K,買,100,A強勢追蹤,9.22,>MA5,多頭,5824.0,tracking
2026-08-06,3022.TW,威強電,97.6,漲幅達標、周1K,買,67,B可追蹤,4.48,>MA5,糾結,7195.6,tracking
2026-08-06,3023.TW,信邦,318.0,單跳空、廣義上升三法,買,63,C觀察,2.8,>MA5,糾結,1857.6,tracking
2026-08-06,3028.TW,增你強,71.7,三白兵、單跳空,買,60,C觀察,3.85,>MA5,糾結,2732.4,tracking
2026-08-06,3029.TW,零壹,107.0,3K反轉,買,62,C觀察,2.39,>MA5,多頭,1353.6,tracking
2026-08-06,3032.TW,偉訓,87.1,單跳空、漲停、島狀反轉、漲幅達標、周1K,買,100,A強勢追蹤,6.58,>MA5,糾結,2465.8,tracking
2026-08-06,3034.TW,聯詠,550.0,單跳空、周1K,買,82,A強勢追蹤,2.73,>MA5,多頭,7764.4,tracking
2026-08-06,3036.TW,文曄,225.0,單跳空,買,64,C觀察,5.91,>MA5,多頭,23076.1,tracking
2026-08-06,3037.TW,欣興,969.0,三白兵、雙跳空、單跳空、周1K,買,100,A強勢追蹤,13.17,>MA5,糾結,44515.0,tracking
2026-08-06,3042.TW,晶技,177.0,廣義上升三法、周1K,買,81,A強勢追蹤,3.91,>MA5,糾結,23363.6,tracking
2026-08-06,3048.TW,益登,58.3,三白兵、雙跳空、單跳空、周1K,買,100,A強勢追蹤,6.83,>MA5,糾結,15202.8,tracking
2026-08-06,3189.TW,景碩,828.0,三白兵、雙跳空、單跳空、漲幅達標、周1K,買,100,A強勢追蹤,15.41,>MA5,糾結,33103.5,tracking
2026-08-06,3231.TW,緯創,193.0,周1K,買,73,B可追蹤,7.47,>MA5,多頭,206766.4,tracking
2026-08-06,3406.TW,玉晶光,533.0,單跳空、島狀反轉、周1K,買,62,C觀察,0.63,>MA5,空頭,2583.7,tracking
2026-08-06,3443.TW,創意,4390.0,三白兵、單跳空、廣義上升三法,買,81,A強勢追蹤,7.98,>MA5,糾結,2175.5,tracking
2026-08-06,3450.TW,聯鈞,475.0,三白兵、雙跳空、單跳空、漲停、漲幅達標、周1K,買,93,A強勢追蹤,6.52,>MA5,空頭,6262.3,tracking
2026-08-06,3576.TW,聯合再生,18.25,漲停、KD高腳、漲幅達標、周1K,買,85,A強勢追蹤,6.04,>MA5,空頭,20856.2,tracking
2026-08-06,3591.TW,艾笛森,22.45,單跳空、漲停、漲幅達標,買,67,B可追蹤,2.09,>MA5,糾結,1073.1,tracking
2026-08-06,3605.TW,宏致,101.5,三白兵、雙漲停、漲停、漲幅達標、周1K,買,100,A強勢追蹤,8.84,>MA5,糾結,23451.3,tracking
2026-08-06,3653.TW,健策,4340.0,三白兵、雙跳空、單跳空、周1K,買,100,A強勢追蹤,13.23,>MA5,多頭,3016.1,tracking
2026-08-06,3661.TW,世芯-KY,3610.0,三白兵、單跳空、廣義上升三法、島狀反轉,買,81,A強勢追蹤,4.84,>MA5,空頭,2014.5,tracking
2026-08-06,3701.TW,大眾控,42.9,三白兵、漲停、漲幅達標,買,66,B可追蹤,5.21,>MA5,空頭,2476.3,tracking
2026-08-06,3702.TW,大聯大,129.0,漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,8.28,>MA5,多頭,17747.0,tracking
2026-08-06,3704.TW,合勤控,48.8,單跳空、周1K,買,60,C觀察,6.22,>MA5,空頭,4306.4,tracking
